case_duration_s,case_duration_h
7560.0,2.1
7680.0,2.1333333333333333
7680.0,2.1333333333333333
7680.0,2.1333333333333333
7800.0,2.1666666666666665
7800.0,2.1666666666666665
7860.0,2.183333333333333
7860.0,2.183333333333333
7860.0,2.183333333333333
7860.0,2.183333333333333
7980.0,2.216666666666667
7980.0,2.216666666666667
8100.0,2.25
11280.0,3.1333333333333333
11280.0,3.1333333333333333
11280.0,3.1333333333333333
11340.0,3.15
11340.0,3.15
11340.0,3.15
11340.0,3.15
11340.0,3.15
11340.0,3.15
11340.0,3.15
11340.0,3.15
11340.0,3.15
11400.0,3.1666666666666665
11400.0,3.1666666666666665
11400.0,3.1666666666666665
11400.0,3.1666666666666665
11400.0,3.1666666666666665
11400.0,3.1666666666666665
11400.0,3.1666666666666665
11400.0,3.1666666666666665
11460.0,3.183333333333333
11460.0,3.183333333333333
11460.0,3.183333333333333
11460.0,3.183333333333333
11520.0,3.2
11520.0,3.2
11580.0,3.216666666666667
11580.0,3.216666666666667
11580.0,3.216666666666667
11580.0,3.216666666666667
11640.0,3.2333333333333334
14820.0,4.116666666666666
14880.0,4.133333333333334
14880.0,4.133333333333334
14880.0,4.133333333333334
14880.0,4.133333333333334
14940.0,4.15
14940.0,4.15
14940.0,4.15
14940.0,4.15
14940.0,4.15
14940.0,4.15
14940.0,4.15
14940.0,4.15
14940.0,4.15
14940.0,4.15
14940.0,4.15
14940.0,4.15
15000.0,4.166666666666667
15000.0,4.166666666666667
15000.0,4.166666666666667
15000.0,4.166666666666667
15060.0,4.183333333333334
15060.0,4.183333333333334
15060.0,4.183333333333334
15060.0,4.183333333333334
15060.0,4.183333333333334
15060.0,4.183333333333334
15060.0,4.183333333333334
15060.0,4.183333333333334
15060.0,4.183333333333334
15060.0,4.183333333333334
15060.0,4.183333333333334
15060.0,4.183333333333334
15120.0,4.2
15120.0,4.2
15120.0,4.2
15120.0,4.2
15120.0,4.2
15120.0,4.2
15120.0,4.2
15120.0,4.2
15120.0,4.2
15180.0,4.216666666666667
15180.0,4.216666666666667
15180.0,4.216666666666667
15180.0,4.216666666666667
15180.0,4.216666666666667
15180.0,4.216666666666667
15240.0,4.233333333333333
18240.0,5.066666666666666
18300.0,5.083333333333333
18360.0,5.1
18360.0,5.1
18360.0,5.1
18420.0,5.116666666666666
18420.0,5.116666666666666
18420.0,5.116666666666666
18420.0,5.116666666666666
18420.0,5.116666666666666
18420.0,5.116666666666666
18420.0,5.116666666666666
18420.0,5.116666666666666
18480.0,5.133333333333334
18480.0,5.133333333333334
18480.0,5.133333333333334
18480.0,5.133333333333334
18480.0,5.133333333333334
18480.0,5.133333333333334
18480.0,5.133333333333334
18480.0,5.133333333333334
18480.0,5.133333333333334
18480.0,5.133333333333334
18480.0,5.133333333333334
18480.0,5.133333333333334
18480.0,5.133333333333334
18480.0,5.133333333333334
18480.0,5.133333333333334
18480.0,5.133333333333334
18540.0,5.15
18540.0,5.15
18540.0,5.15
18540.0,5.15
18540.0,5.15
18540.0,5.15
18540.0,5.15
18540.0,5.15
18540.0,5.15
18540.0,5.15
18540.0,5.15
18540.0,5.15
18540.0,5.15
18540.0,5.15
18540.0,5.15
18540.0,5.15
18540.0,5.15
18540.0,5.15
18540.0,5.15
18540.0,5.15
18540.0,5.15
18540.0,5.15
18540.0,5.15
18540.0,5.15
18540.0,5.15
18540.0,5.15
18600.0,5.166666666666667
18600.0,5.166666666666667
18600.0,5.166666666666667
18600.0,5.166666666666667
18600.0,5.166666666666667
18600.0,5.166666666666667
18600.0,5.166666666666667
18600.0,5.166666666666667
18600.0,5.166666666666667
18600.0,5.166666666666667
18600.0,5.166666666666667
18600.0,5.166666666666667
18600.0,5.166666666666667
18600.0,5.166666666666667
18600.0,5.166666666666667
18600.0,5.166666666666667
18600.0,5.166666666666667
18600.0,5.166666666666667
18600.0,5.166666666666667
18600.0,5.166666666666667
18600.0,5.166666666666667
18600.0,5.166666666666667
18600.0,5.166666666666667
18600.0,5.166666666666667
18600.0,5.166666666666667
18600.0,5.166666666666667
18600.0,5.166666666666667
18600.0,5.166666666666667
18600.0,5.166666666666667
18600.0,5.166666666666667
18660.0,5.183333333333334
18660.0,5.183333333333334
18660.0,5.183333333333334
18660.0,5.183333333333334
18660.0,5.183333333333334
18660.0,5.183333333333334
18660.0,5.183333333333334
18660.0,5.183333333333334
18660.0,5.183333333333334
18660.0,5.183333333333334
18660.0,5.183333333333334
18660.0,5.183333333333334
18660.0,5.183333333333334
18660.0,5.183333333333334
18660.0,5.183333333333334
18660.0,5.183333333333334
18660.0,5.183333333333334
18660.0,5.183333333333334
18660.0,5.183333333333334
18660.0,5.183333333333334
18660.0,5.183333333333334
18660.0,5.183333333333334
18660.0,5.183333333333334
18660.0,5.183333333333334
18660.0,5.183333333333334
18660.0,5.183333333333334
18660.0,5.183333333333334
18660.0,5.183333333333334
18660.0,5.183333333333334
18660.0,5.183333333333334
18720.0,5.2
18720.0,5.2
18720.0,5.2
18720.0,5.2
18720.0,5.2
18720.0,5.2
18720.0,5.2
18720.0,5.2
18720.0,5.2
18720.0,5.2
18720.0,5.2
18720.0,5.2
18720.0,5.2
18720.0,5.2
18720.0,5.2
18720.0,5.2
18720.0,5.2
18720.0,5.2
18720.0,5.2
18720.0,5.2
18720.0,5.2
18720.0,5.2
18720.0,5.2
18720.0,5.2
18720.0,5.2
18720.0,5.2
18720.0,5.2
18780.0,5.216666666666667
18780.0,5.216666666666667
18780.0,5.216666666666667
18780.0,5.216666666666667
18780.0,5.216666666666667
18780.0,5.216666666666667
18780.0,5.216666666666667
18780.0,5.216666666666667
18780.0,5.216666666666667
18780.0,5.216666666666667
18780.0,5.216666666666667
18780.0,5.216666666666667
18840.0,5.233333333333333
18840.0,5.233333333333333
18840.0,5.233333333333333
18840.0,5.233333333333333
18840.0,5.233333333333333
18840.0,5.233333333333333
18900.0,5.25
18900.0,5.25
18900.0,5.25
18900.0,5.25
18960.0,5.266666666666667
21840.0,6.066666666666666
21900.0,6.083333333333333
21900.0,6.083333333333333
21960.0,6.1
21960.0,6.1
21960.0,6.1
21960.0,6.1
21960.0,6.1
21960.0,6.1
21960.0,6.1
21960.0,6.1
21960.0,6.1
21960.0,6.1
21960.0,6.1
22020.0,6.116666666666666
22020.0,6.116666666666666
22020.0,6.116666666666666
22020.0,6.116666666666666
22020.0,6.116666666666666
22020.0,6.116666666666666
22020.0,6.116666666666666
22020.0,6.116666666666666
22020.0,6.116666666666666
22020.0,6.116666666666666
22020.0,6.116666666666666
22020.0,6.116666666666666
22020.0,6.116666666666666
22080.0,6.133333333333334
22080.0,6.133333333333334
22080.0,6.133333333333334
22080.0,6.133333333333334
22080.0,6.133333333333334
22080.0,6.133333333333334
22080.0,6.133333333333334
22080.0,6.133333333333334
22080.0,6.133333333333334
22080.0,6.133333333333334
22080.0,6.133333333333334
22080.0,6.133333333333334
22080.0,6.133333333333334
22080.0,6.133333333333334
22080.0,6.133333333333334
22080.0,6.133333333333334
22080.0,6.133333333333334
22080.0,6.133333333333334
22080.0,6.133333333333334
22080.0,6.133333333333334
22080.0,6.133333333333334
22080.0,6.133333333333334
22080.0,6.133333333333334
22080.0,6.133333333333334
22080.0,6.133333333333334
22080.0,6.133333333333334
22080.0,6.133333333333334
22080.0,6.133333333333334
22080.0,6.133333333333334
22080.0,6.133333333333334
22140.0,6.15
